Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B01236,BLS LIMO SVC OF NY INC,,2018,5,May,3413,0,143
B01285,UNION RADIO DISPATCH INC,,2020,1,January,9063,0,53
B02892,SEAMAN EXPRESS CORP.,,2018,2,February,39,0,8
B02429,SEAGULL RIDE CORP,,2021,7,July,3592,0,11
B00552,HINO-MARU ENTERPRISES INC.,,2016,5,May,974,0,50
VIA,VIA,VIA,2016,7,July,516639,0,1492
B02429,SEAGULL RIDE CORP,,2018,8,August,3084,0,10
B00823,"EASTERN L.P.B.,INC.",EASTERN CAR SVCE,2016,9,September,15680,0,109
B02924,CELEBRITY LUXURY INC.,,2021,4,April,12,0,7
B03206,KIDMOTO TECHNOLOGIES LLC,,2020,7,July,18,0,6
B02930,V.I.T. BLACK CAR TRANSPORTATION CORP.,,2018,9,September,4457,0,20
B01083,BROAD DYCKMAN C/S INC,,2018,11,November,8999,0,54
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,2019,10,October,1846,0,42
B01800,EMPIRE INTERNATIONAL LTD.,,2020,6,June,200,0,35
B02144,"SILVER STAR LIMOUSINES, INC.",,2021,2,February,186,0,4
B03160,"CURB TRANSPORTATION SERVICES,LLC",CURB MOBILITY-CURB TRANS,2019,11,November,19992,0,383
B02687,ECO RIDE INC.,ELECTRIC BLUE CAR SERVICE,2020,11,November,913,0,4
B02905,PUEBLA LUXURY CORP,,2019,10,October,11293,0,54
B02857,MATHES SERVICE INC.,NUNU ROCHDALE CAR SERVICE,2018,12,December,476,0,3
B02182,"FINEST CAR SERVICE, LLC",,2019,10,October,8594,0,93
B01846,ROMANTIQUE LIMOUSINE INC.,,2019,12,December,52,0,9
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2016,5,May,674,0,11
B01445,J T TRANS CO INC,,2017,11,November,211,0,58
B02899,NEW BLACK LUXURY CARS CORP,,2020,5,May,58,0,19
B02240,NEW APPLE TRANS. INC.,PALPAL LIMO,2022,2,February,46,0,3
B03057,PROSPECT LUXURY CAR SERVICE,,2022,2,February,97,0,2
B01190,NEW BELL CAR SERVICE CORP,,2017,1,January,12197,0,69
B01651,U.P.S. RADIO DISPATCH CORP.,WIRELESS CAR SERVICE,2016,8,August,15656,0,116
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2021,7,July,1569,0,13
B03072,CONVENIENCE RIDE TRANSPORTATION SERVICES INC.,,2020,2,February,99,0,3
B02634,VETERANS RADIO DISPATCHER CORP.,,2021,11,November,1246,0,19
B02838,THA MAYA CAR SERVICE INC,,2019,10,October,1071,0,9
B03062,BQN VOUCHER INC,,2018,3,March,1903,0,10
B00472,FARRELL'S LEASING CO.,,2017,11,November,1224,0,47
B01913,MIRAGE LIMOUSINE SERVICE INC,,2021,5,May,268,0,13
B00171,CURB TRANSPORTATION SERVICES LLC.,,2018,3,March,360,0,4
VIA,VIA,VIA,2018,9,September,940708,651686,6273
B02980,ADVANTAGE LIMO OF NY INC,,2019,6,June,136,0,6
B02254,"FINESSE GROUP LIMOUSINE,INC.",,2017,4,April,994,0,8
B02825,GUADALUPANA II CAR & LIMO INC,,2020,11,November,3309,0,20
B02799,CHURCH AVENUE EXPRESS INC,,2016,9,September,1605,0,14
B02418,PLUSH SERVICES CORP,,2021,4,April,438,0,4
B03052,PROGRESIVE LIMOS INC.,,2018,11,November,1674,0,15
B01711,FLUSHING LIMO TRANSP CORP,,2018,10,October,2679,0,14
B03257,MAXI LUXURY CARS CORP.,,2020,4,April,529,0,4
B00900,BIG Q CAR SVC. INC.,,2021,4,April,17897,0,75
B01958,ST.ALBANS-HOLLIS CAR SERVICE INC.,,2022,5,May,2493,0,6
B01552,ACTIVE EXPRESS CAR & LIMO SERVICE INC,,2016,1,January,1143,0,3
B00037,TRANSP UNLIMITED C/S,,2017,1,January,9441,0,42
B02913,DAT TRANSPORTATION INC.,,2020,10,October,2,0,2
B01300,KENNEDY RAD DISP INC,,2018,12,December,12907,0,102
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2018,6,June,7847,0,56
B01196,DIPLO RAD DISP INC,,2020,5,May,5832,0,45
B02145,NEW 2020 CAR SERVICE INC,,2018,3,March,1409,0,6
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",,2017,7,July,80,0,7
B03142,"COOL WAY TECHNOLOGY, INC.",,2019,10,October,1576,0,16
B03380,ELECTRIC PEPPERS LLC,,2022,1,January,13302,0,49
B00628,"CONCORD LIMOUSINE 1, LLC",,2017,2,February,12959,0,328
B02947,"ONIX TRANSPORTATION, INC",,2019,6,June,11660,0,72
B01540,ROCKAWAY VIP SERVICE INC.,,2018,11,November,4684,0,17
B01741,MONACO LIMO & CAR SERVICES INC.,,2017,3,March,2315,0,14
B01527,NEW FAMILY RAD DISP INC,,2016,12,December,8564,0,82
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2016,1,January,1175,0,10
B02249,"LA RAZA CAR SERVICE, INC.",,2022,5,May,1479,0,7
B02550,AGAPE LUXURY CORP.,,2021,4,April,15469,0,119
B00112,"AYY&M TRANSPORTATION, LLC",HARBORVIEW CAR SERVICE,2018,8,August,4817,0,20
B02996,FOREVER BLUE CAR SERVICE INC.,,2017,6,June,5355,0,32
