License Number,Entity Name,Telephone Number,SHL Endorsed,Building,Street,City,State,Postcode,Type of Base,Latitude,Longitude,Date,Time,Location
B03377,JUMPRYDZ LLC,7328392801,No,317,GEORGE ST  STE 320,NEW BRUNSWICK,NJ,08901,BLACK CAR BASE,40.493052,-74.4429875,07/12/2023,18:00:13,"(40.493052, -74.4429875)"
B03281,JARPA TRANSPORTATION CORP.,7186350047,No,2825,THIRD AVENUE  SUITE 301,BRONX,NY,10455,BLACK CAR BASE,40.8158019,-73.9184149,07/12/2023,18:00:13,"(40.8158019, -73.9184149)"
B01339,R C AUDUBON SVC INC,2129238787,Yes,2224,AMSTERDAM AVENUE,NEW YORK,NY,10032,LIVERY BASE,40.838228,-73.937654,07/12/2023,18:00:13,"(40.838228, -73.937654)"
B03278,GEWESEN TRANSPORTATION CORP.,9739542775,No,175,VARICK STREET,NEW YORK,NY,10014,BLACK CAR BASE,,,07/12/2023,18:00:13,
B03109,ROLUX INC,9178652793,No,160-23,ROCKAWAY BOULEVARD  SUITE 4,JAMAICA,NY,11434,BLACK CAR BASE,40.7101523,-73.7928657,07/12/2023,18:00:13,"(40.7101523, -73.7928657)"
B03407,ZOOM TRANSIT INC,7185839100,Yes,2078,CROSS BRONX EXPRESSWAY,BRONX,NY,10472,BLACK CAR BASE,40.831011,-73.8542083,07/12/2023,18:00:13,"(40.831011, -73.8542083)"
B90570,BANNER INTERNATIONAL CORP.,7185253497,No,226-12,144 AVENUE,LAURELTON,NY,11413,PARATRANSIT BASE,40.663994,-73.751771,07/12/2023,18:00:13,"(40.663994, -73.751771)"
B02762,SHOWTIME TRANSPORTATION CORP.,7182606666,No,161,BRIGHTON   11 STREET,BROOKLYN,NY,11235,BLACK CAR BASE,40.578441,-73.958514,07/12/2023,18:00:13,"(40.578441, -73.958514)"
B03362,AURA CAR SERVICE CORP.,2129818184,No,84,NAGLE AVENUE,NEW YORK,NY,10040,BLACK CAR BASE,40.8606645,-73.9281348,07/12/2023,18:00:13,"(40.8606645, -73.9281348)"
B02799,CHURCH AVENUE EXPRESS INC,7186338444,No,99,CHURCH AVENUE,BROOKLYN,NY,11218,LIVERY BASE,40.64171,-73.98135,07/12/2023,18:00:13,"(40.64171, -73.98135)"
B03471,ABX PREMIUM CORP,7183288080,No,1963,SOUTHERN BOULEVARD  SUIT A,BRONX,NY,10460,BLACK CAR BASE,40.8431769,-73.885772,07/12/2023,18:00:13,"(40.8431769, -73.885772)"
B03406,"TRI-CITY,LLC",4154758459,No,441,9TH AVENUE  2ND FLOOR,NEW YORK,NY,10001,BLACK CAR BASE,40.7409071,-73.9419069,07/12/2023,18:00:13,"(40.7409071, -73.9419069)"
B03308,B.S.Z. LUXURY BLACK CAR INC.,7184008338,No,80-06,101 AVENUE,OZONE PARK,NY,11416,BLACK CAR BASE,40.6805733,-73.8584575,07/12/2023,18:00:13,"(40.6805733, -73.8584575)"
B01527,NEW FAMILY RAD DISP INC,2127497777,No,8,WEST  126 STREET  3 FLOOR,NEW YORK,NY,10027,LIVERY BASE,40.799069,-73.962505,07/12/2023,18:00:13,"(40.799069, -73.962505)"
B01285,UNION RADIO DISPATCH INC,7185830222,No,69,FEATHERBED LANE,BRONX,NY,10452,LIVERY BASE,40.846629,-73.91736,07/12/2023,18:00:13,"(40.846629, -73.91736)"
B01639,HIGH CLASS LIMO CAR SVCE CORP,2129261021,No,1700,JEROME AVE,BRONX,NY,10453,LIVERY BASE,40.834828,-73.945041,07/12/2023,18:00:13,"(40.834828, -73.945041)"
B00536,"WINTHROP HOLDING OF NEW YORK, INC",7182091616,No,5924,GLENWOOD ROAD,BROOKLYN,NY,11234,LIVERY BASE,40.634075,-73.919437,07/12/2023,18:00:13,"(40.634075, -73.919437)"
B03513,"AMP TRANSPORTATION MANAGEMENT, LLC.",7184001267,No,1303,ALLERTON AVENUE,BRONX,NY,10469,BLACK CAR BASE,40.7101523,-73.7928657,07/12/2023,18:00:13,"(40.7101523, -73.7928657)"
B03328,B-QUICK TRANSPORTATION CORP.,3473980856,No,3036,EAST TREMONT AVENUE  SUITE #202,BRONX,NY,10461,BLACK CAR BASE,40.8394692,-73.8371342,07/12/2023,18:00:13,"(40.8394692, -73.8371342)"
B02103,A & S LIMOUSINE SERVICE CORP,7184551900,No,712,BROADWAY  2ND FLOOR,BROOKLYN,NY,11206,LIVERY BASE,40.701213,-73.943166,07/12/2023,18:00:13,"(40.701213, -73.943166)"
B03252,CITY WAV CORP.,6467893399,No,547,92ND STREET  GROUND FLOOR,BROOKLYN,NY,11209,BLACK CAR BASE,40.6172578,-74.0276862,07/12/2023,18:00:13,"(40.6172578, -74.0276862)"
B00531,"FRIENDLY BEST-WAY TRANSPORTATION, INC.",7182526363,No,1448,CONEY ISLAND AVENUE,BROOKLYN,NY,11230,LIVERY BASE,40.622131,-73.96493,07/12/2023,18:00:13,"(40.622131, -73.96493)"
B80145,ALEXIS VAN LINES INC,9174341614,No,3712,FLATLANDS AVENUE  2F,BROOKLYN,NY,11234,COMMUTER VAN AUTHORITY BASE,40.618436,-73.939214,07/12/2023,18:00:13,"(40.618436, -73.939214)"
B00411,FONE-A-CAR INC,7186376320,No,41 - 24,38TH STREET,LIC,NY,11101,BLACK CAR BASE,40.638477,-73.98333,07/12/2023,18:00:13,"(40.638477, -73.98333)"
B03529,NEW WILLIAMSBURG LUXURY CORP,7185610442,No,220,MARCUS GARVEY BOULEVARD,BROOKLYN,NY,11221,BLACK CAR BASE,,,07/12/2023,18:00:13,
B90731,AGNES TRANSPORTATION LIMITED LIABILITY COMPANY,7184901563,No,119-22,196 STREET,ST.ALBANS,NY,11412,PARATRANSIT BASE,40.6900283,-73.7546203,07/12/2023,18:00:13,"(40.6900283, -73.7546203)"
B03370,ANDREW TRANSPORTATION CORP,6462810962,No,1391,NELSON AVENUE,BRONX,NY,10452,BLACK CAR BASE,40.8417055,-73.9226608,07/12/2023,18:00:13,"(40.8417055, -73.9226608)"
B02182,"FINEST CAR SERVICE, LLC",7186436466,Yes,335,BOND STREET,BROOKLYN,NY,11231,LIVERY BASE,40.678782,-73.98998,07/12/2023,18:00:13,"(40.678782, -73.98998)"
B02920,AMAZING CAR AND LIMO SERVICE INC,7189425959,No,1903,WEST FARMS RD,BRONX,NY,10460,LIVERY BASE,40.7648,-73.9808,07/12/2023,18:00:13,"(40.7648, -73.9808)"
B01065,EL BARRIO'S CAR SERVICE LLC,2127225555,Yes,220,EAST 116 ST,NEW YORK,NY,10029,LIVERY BASE,40.797415,-73.93931,07/12/2023,18:00:13,"(40.797415, -73.93931)"
B01970,GRAFE STREET SERVICE CORP.,2123430300,No,282,AVENUE U,BROOKLYN,NY,11223,LUXURY/LIMOUSINE,40.596741,-73.973733,07/12/2023,18:00:13,"(40.596741, -73.973733)"
B02868,CHA CHA TRANSPORTATION CORP,7186830246,No,35 - 30,154 STREET  2ND FLOOR,FLUSHING,NY,11354,BLACK CAR BASE,40.739075,-73.787622,07/12/2023,18:00:13,"(40.739075, -73.787622)"
B02429,SEAGULL RIDE CORP,7187033333,No,2692,CONEY ISLAND AVENUE,BROOKLYN,NY,11235,BLACK CAR BASE,40.59092,-73.961,07/12/2023,18:00:13,"(40.59092, -73.961)"
B02037,KINGSDALE DISPATCH INC,7187962222,No,3265,JOHNSON AVENUE,BRONX,NY,10463,LIVERY BASE,40.880379,-73.911322,07/12/2023,18:00:13,"(40.880379, -73.911322)"
B00955,GOLDEN-TOWN CAR & LIMOUSINE SERVICE INC.,7184297071,No,32-60,81 STREET,EAST ELMHURST,NY,11370-2002,LIVERY BASE,40.755791,-73.88638,07/12/2023,18:00:13,"(40.755791, -73.88638)"
