DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
2022/1/1,1.4,20.1,0,0,13.3,10
2022/1/2,2.6,1,0,0,15,2.8
2022/1/3,4.4,0,0,0,2.8,-5.5
2022/1/4,2.7,0,0,0,1.1,-7.1
2022/1/5,2.5,5.8,0,0,8.3,-0.5
2022/1/6,2.9,0,0,0,5,1.1
2022/1/7,3.9,9.7,147,150,1.1,-3.8
2022/1/8,2.7,0,0,80,-1,-6.6
2022/1/9,3.8,2.5,0,80,4.4,-1.6
2022/1/10,3.8,0,0,0,4.4,-4.3
2022/1/11,3.3,0,0,0,-4.3,-9.3
2022/1/12,2.7,0,0,0,4.4,-6.6
2022/1/13,1.4,0,0,0,8.9,1.1
2022/1/14,3.7,0,0,0,6.1,-6
2022/1/15,3.2,0,0,0,-6,-12.1
2022/1/16,3.8,9.4,20,0,2.8,-12.1
2022/1/17,4.5,29.5,0,0,6.7,1.1
2022/1/18,4.1,0,0,0,2.2,-1.6
2022/1/19,3,0,0,0,9.4,-2.1
2022/1/20,3,7.6,0,0,7.8,-5.5
2022/1/21,3.5,0,0,0,-5.5,-9.9
2022/1/22,2.5,0,0,0,-1.6,-10.5
2022/1/23,2.4,0.5,5,0,2.8,-4.3
2022/1/24,1.9,0,0,0,2.2,-3.2
2022/1/25,2.6,0,0,0,5.6,-2.1
2022/1/26,2.8,0,0,0,-2.1,-6.6
2022/1/27,2.4,0,0,0,0,-8.2
2022/1/28,2.1,3.3,30,0,0,-1.6
2022/1/29,5.6,19.6,185,150,-1.6,-11
2022/1/30,3.1,0,0,180,-3.2,-11
2022/1/31,1.7,0,0,150,-0.5,-6
2022/2/1,2.3,0,0,150,2.2,-4.9
2022/2/2,1.3,0,0,100,8.3,0
2022/2/3,1.7,10.7,0,50,11.1,5.6
2022/2/4,3,18.3,0,0,13.9,-3.2
2022/2/5,3.9,0,0,0,-2.7,-7.1
2022/2/6,2.1,0,0,0,-1,-8.2
2022/2/7,1.6,3.8,0,0,2.8,-1
2022/2/8,3,1.8,0,0,7.2,0
2022/2/9,1.8,0,0,0,7.8,-1.6
2022/2/10,2.3,0,0,0,12.2,2.8
2022/2/11,2.3,0,0,0,13.9,3.3
2022/2/12,3.4,0,0,0,15,5.6
2022/2/13,3,5.8,41,30,5.6,-3.8
2022/2/14,3.9,0,0,30,-3.8,-8.8
2022/2/15,2.2,0,0,0,-1,-8.8
2022/2/16,2.6,0,0,0,9.4,-2.1
2022/2/17,3.3,7.9,0,0,20,9.4
2022/2/18,4.3,8.4,0,0,17.2,-2.7
2022/2/19,3.7,0,0,0,4.4,-4.9
2022/2/20,3.4,0,0,0,2.2,-6
2022/2/21,2,0,0,0,12.8,0
2022/2/22,2.7,6.6,0,0,16.1,2.8
2022/2/23,3.7,0,0,0,20,1.7
2022/2/24,3.4,0,0,0,1.7,-1.6
2022/2/25,3.7,18.8,10,0,5,-3.2
2022/2/26,3.2,0,0,0,2.8,-4.3
2022/2/27,4.3,0,0,0,8.9,-2.1
2022/2/28,2.6,0,0,0,2.2,-3.2
2022/3/1,2.6,0,0,0,8.9,-0.5
2022/3/2,2.4,0,0,0,11.1,4.4
2022/3/3,4.3,0.8,0,0,8.9,-4.3
2022/3/4,2.4,0,0,0,2.8,-6
2022/3/5,1.6,0,0,0,7.8,0
2022/3/6,2.4,1.5,0,0,20,6.1
2022/3/7,3.3,0.8,0,0,23.3,10
2022/3/8,4.1,0,0,0,10,3.9
2022/3/9,2.6,14.2,10,0,5,0.6
2022/3/10,0.8,0,0,0,10.6,0.6
2022/3/11,2,0,0,0,12.8,4.4
2022/3/12,4.4,12.7,0,0,8.9,-4.3
2022/3/13,4,0,0,0,1.7,-5.5
2022/3/14,2.5,0,0,0,13.3,0.6
2022/3/15,2.2,0,0,0,20,7.8
2022/3/16,2,0,0,0,19.4,8.9
2022/3/17,2.5,2,0,0,11.7,7.2
2022/3/18,2.2,0,0,0,23.3,10
2022/3/19,1.2,1.3,0,0,21.1,9.4
2022/3/20,3.6,0,0,0,16.1,7.8
2022/3/21,3.6,0,0,0,16.7,6.7
2022/3/22,3.3,0,0,0,14.4,6.1
2022/3/23,3.4,1.5,0,0,9.4,3.3
2022/3/24,5.1,23.6,0,0,8.3,3.3
2022/3/25,1.9,0.5,0,0,15.6,6.7
2022/3/26,2.7,0,0,0,11.7,5.6
2022/3/27,4.7,0,0,0,7.8,-2.1
2022/3/28,5.5,0,0,0,0.6,-4.9
2022/3/29,4.7,0,0,0,3.3,-4.3
2022/3/30,2.1,0,0,0,8.3,-1.6
2022/3/31,2.2,1.8,0,0,18.9,7.2
2022/4/1,3.9,7.1,0,0,16.1,6.1
2022/4/2,2.8,0,0,0,12.2,3.3
2022/4/3,1.8,3,0,0,8.9,4.4
2022/4/4,3,0,0,0,12.2,3.9
2022/4/5,1.5,1,0,0,13.9,7.2
2022/4/6,4.8,11.4,0,0,11.7,6.7
2022/4/7,3.3,28.4,0,0,12.2,7.2
2022/4/8,3,0.8,0,0,18.3,9.4
2022/4/9,2.2,1.3,0,0,12.8,8.3
2022/4/10,4.3,0,0,0,10,5.6
2022/4/11,2.2,0,0,0,16.1,4.4
2022/4/12,1.7,1.8,0,0,22.2,10
2022/4/13,1.7,0,0,0,21.7,12.8
2022/4/14,2.1,1.5,0,0,26.1,13.9
2022/4/15,2.6,0,0,0,21.1,11.1
2022/4/16,2.8,5.1,0,0,22.8,6.7
2022/4/17,3.1,0,0,0,10.6,5
2022/4/18,3.4,21.6,0,0,12.2,3.9
2022/4/19,4.7,31.5,0,0,10,3.9
2022/4/20,2.8,0,0,0,15.6,5.6
2022/4/21,2.7,0,0,0,15,6.7
2022/4/22,2.8,0,0,0,21.1,11.7
2022/4/23,2.3,0,0,0,18.3,10.6
2022/4/24,2.4,0,0,0,17.2,8.9
2022/4/25,2.2,0,0,0,14.4,7.8
2022/4/26,1.5,0.5,0,0,15.6,11.1
2022/4/27,4.7,0,0,0,14.4,5
2022/4/28,4.6,0,0,0,14.4,4.4
2022/4/29,3.5,0,0,0,17.2,5
2022/4/30,1.3,0,0,0,20,6.7
2022/5/1,1.4,0,0,0,20.6,8.3
2022/5/2,2.1,5.8,0,0,13.3,10.6
2022/5/3,2.6,0,0,0,16.7,10.6
2022/5/4,1.1,2,0,0,18.3,10
2022/5/5,1.9,0,0,0,23.3,13.3
2022/5/6,1.6,17.5,0,0,16.1,9.4
2022/5/7,4.9,23.4,0,0,10,7.2
2022/5/8,5,0,0,0,14.4,7.2
2022/5/9,5.1,0,0,0,21.1,8.3
2022/5/10,4.5,0,0,0,22.8,10.6
2022/5/11,2.5,0,0,0,23.9,11.7
2022/5/12,2.2,0,0,0,23.9,14.4
2022/5/13,1.9,0.8,0,0,22.2,13.9
2022/5/14,1.3,5.6,0,0,22.2,15.6
2022/5/15,1,2.5,0,0,24.4,15.6
2022/5/16,2.2,3,0,0,23.9,16.1
2022/5/17,3.1,0,0,0,25,13.9
2022/5/18,1.8,0.3,0,0,22.2,12.8
2022/5/19,1.1,18.5,0,0,18.9,12.2
2022/5/20,1.6,10.2,0,0,20.6,12.8
2022/5/21,0.7,0,0,0,32.2,16.7
2022/5/22,1.8,0,0,0,31.7,22.2
2022/5/23,3,0,0,0,22.8,16.1
2022/5/24,2.1,0,0,0,19.4,13.9
2022/5/25,1.3,0,0,0,21.1,11.7
2022/5/26,1.6,0,0,0,21.1,12.2
2022/5/27,1.3,6.9,0,0,26.7,18.3
2022/5/28,1.5,18.3,0,0,23.3,17.2
2022/5/29,0.8,0,0,0,25,15
2022/5/30,1.3,0,0,0,28.9,17.2
2022/5/31,2.2,0,0,0,33.9,18.3
2022/6/1,2.9,18,0,0,22.2,15.6
2022/6/2,1.4,11.4,0,0,26.1,16.7
2022/6/3,1.6,0,0,0,24.4,16.7
2022/6/4,1,0,0,0,26.7,16.1
2022/6/5,1.6,0,0,0,25,13.9
2022/6/6,1.9,0,0,0,26.7,17.2
2022/6/7,2.5,2,0,0,25.6,17.2
2022/6/8,2,0.8,0,0,27.8,18.9
2022/6/9,3,21.1,0,0,27.2,18.3
2022/6/10,2.5,0,0,0,25,17.2
2022/6/11,1.4,0,0,0,23.3,18.9
2022/6/12,1.2,1.3,0,0,22.2,17.2
2022/6/13,1.1,0,0,0,29.4,20
2022/6/14,1.9,0,0,0,27.2,20
2022/6/15,1.6,0,0,0,28.3,18.9
