zone,LocationID,borough,lat,lon
Newark Airport,1,EWR,40.69024330172403,-74.17427027586203
Jamaica Bay,2,Queens,40.61216268077739,-73.81764292356883
Allerton/Pelham Gardens,3,Bronx,40.86429403840487,-73.84650986336355
Alphabet City,4,Manhattan,40.72385314970739,-73.97520908904802
Arden Heights,5,Staten Island,40.55667805421755,-74.1898026069764
Arrochar/Fort Wadsworth,6,Staten Island,40.60111748548471,-74.07174675600426
Astoria,7,Queens,40.7614329365109,-73.91936504548893
Astoria Park,8,Queens,40.77807743974381,-73.92339582416912
Auburndale,9,Queens,40.750302438936416,-73.79018835662424
Bloomingdale,24,Manhattan,40.80294679300086,-73.967739177612
Baisley Park,10,Queens,40.67793075647762,-73.79031743432476
Bath Beach,11,Brooklyn,40.602691959021456,-74.00902265466557
Battery Park,12,Manhattan,40.702091093786365,-74.0154773833862
Battery Park City,13,Manhattan,40.70941900773059,-74.01732560300114
Bedford Park,18,Bronx,40.8688767444921,-73.88938681168742
Boerum Hill,25,Brooklyn,40.68658766210137,-73.9859294600869
Bay Ridge,14,Brooklyn,40.625195972929376,-74.02924605730355
Bay Terrace/Fort Totten,15,Queens,40.79099485971974,-73.77860618505593
Bensonhurst West,22,Brooklyn,40.60880523078704,-73.99579855752064
Bloomfield/Emerson Hill,23,Staten Island,40.60462435297202,-74.19051212465772
Bayside,16,Queens,40.76281126316483,-73.76797232853129
Bedford,17,Brooklyn,40.6923989522704,-73.95031617778683
Bellerose,19,Queens,40.73468188788073,-73.72886971018568
Belmont,20,Bronx,40.85894073699991,-73.88536610645448
Bensonhurst East,21,Brooklyn,40.5968857703449,-73.99043980619618
Borough Park,26,Brooklyn,40.630737482492215,-73.98795177269223
Breezy Point/Fort Tilden/Riis Beach,27,Queens,40.56129837263247,-73.89081930147192
Briarwood/Jamaica Hills,28,Queens,40.712313509004865,-73.80698408223753
Brooklyn Heights,33,Brooklyn,40.696964270959285,-73.9955014550299
Brighton Beach,29,Brooklyn,40.5799339928816,-73.96050734707573
Bronx Park,31,Bronx,40.8603103834642,-73.87512407634514
Bronxdale,32,Bronx,40.86211607946457,-73.86541526840395
Broad Channel,30,Queens,40.602882041910725,-73.82289586807936
Brooklyn Navy Yard,34,Brooklyn,40.70270189830485,-73.97417568680176
Brownsville,35,Brooklyn,40.66399062130709,-73.9103289320326
Bushwick North,36,Brooklyn,40.69925991247543,-73.91683429697895
Bushwick South,37,Brooklyn,40.69546427339089,-73.92392072772924
Cambria Heights,38,Queens,40.695104353263055,-73.73553021222953
Canarsie,39,Brooklyn,40.64248158549986,-73.89170628843904
Carroll Gardens,40,Brooklyn,40.67789943259294,-73.99662564459295
Central Harlem,41,Manhattan,40.80335612940571,-73.95057322060862
Chinatown,45,Manhattan,40.71156838061706,-73.9980492213935
City Island,46,Bronx,40.85026745326246,-73.7858510856061
Central Harlem North,42,Manhattan,40.8263844460338,-73.9370746563841
Central Park,43,Manhattan,40.781507034839606,-73.96649770875564
Charleston/Tottenville,44,Staten Island,40.52993928435698,-74.23734818312742
Claremont/Bathgate,47,Bronx,40.84321380141884,-73.90047161694585
Clinton East,48,Manhattan,40.76139808919221,-73.99074395346146
Clinton Hill,49,Brooklyn,40.690254468091744,-73.96138225466319
Clinton West,50,Manhattan,40.76783757642029,-73.99747392973038
Co-Op City,51,Bronx,40.875532264342255,-73.83037051104496
Cobble Hill,52,Brooklyn,40.68651995745938,-73.99623989621614
College Point,53,Queens,40.783239730407956,-73.85106138828172
Columbia Street,54,Brooklyn,40.68749173768143,-74.00375098523544
Coney Island,55,Brooklyn,40.575390514859066,-73.9879681399386
Corona,56,Queens,40.74079142991454,-73.85660822876818
Corona,56,Queens,40.752092994629535,-73.85332960840732
Country Club,58,Bronx,40.843988174908695,-73.81521471028852
Crotona Park,59,Bronx,40.837955176214194,-73.89505101724276
Crotona Park East,60,Bronx,40.835267660811134,-73.88343061378563
Crown Heights North,61,Brooklyn,40.67512277921203,-73.93557955031052
Crown Heights South,62,Brooklyn,40.66621642791926,-73.94632895004831
Cypress Hills,63,Brooklyn,40.68095094960097,-73.88457263684568
Douglaston,64,Queens,40.76263562904349,-73.74863380292766
Downtown Brooklyn/MetroTech,65,Brooklyn,40.6958705015447,-73.9852380136417
East Flatbush/Remsen Village,72,Brooklyn,40.65259402195565,-73.92148188772556
DUMBO/Vinegar Hill,66,Brooklyn,40.7031327325329,-73.98768663646352
Dyker Heights,67,Brooklyn,40.61743321146543,-74.01504208243959
East Chelsea,68,Manhattan,40.74825055415933,-74.00055338001442
East Flushing,73,Queens,40.752945150085935,-73.80716879030099
East Concourse/Concourse Village,69,Bronx,40.83058287371742,-73.91513134072308
East Elmhurst,70,Queens,40.76327343969991,-73.86587099635449
East Flatbush/Farragut,71,Brooklyn,40.64276010509795,-73.93595734017636
East Village,79,Manhattan,40.72675919871179,-73.98648683022024
East Williamsburg,80,Brooklyn,40.71505083727544,-73.93082203589744
East Harlem North,74,Manhattan,40.804589317055,-73.93401176672427
Erasmus,85,Brooklyn,40.64579709637726,-73.9518879948301
Far Rockaway,86,Queens,40.602716901576045,-73.7575577986096
East Harlem South,75,Manhattan,40.78825569068814,-73.94187928469456
East New York,76,Brooklyn,40.65481957240652,-73.87553731696713
East New York/Pennsylvania Avenue,77,Brooklyn,40.66711126608238,-73.89488454298962
East Tremont,78,Bronx,40.843782843908016,-73.88120190706478
Eastchester,81,Bronx,40.881655895140845,-73.83102438063452
Financial District North,87,Manhattan,40.704632069846596,-74.00555030731743
Elmhurst,82,Queens,40.73720609907318,-73.87952011564646
Elmhurst/Maspeth,83,Queens,40.73789131166799,-73.89288058490204
Eltingville/Annadale/Prince's Bay,84,Staten Island,40.52052400920865,-74.19254830736543
Financial District South,88,Manhattan,40.701272622757735,-74.01181057800497
Flatbush/Ditmas Park,89,Brooklyn,40.636981499869776,-73.96209894515745
Flatiron,90,Manhattan,40.74218874363324,-73.99678865343324
Hudson Sq,125,Manhattan,40.725759927699855,-74.00891583848475
Flatlands,91,Brooklyn,40.62812101710276,-73.92937829673706
Flushing,92,Queens,40.76028120270716,-73.8276620685416
Flushing Meadows-Corona Park,93,Queens,40.74751935423859,-73.8458960869018
Fordham South,94,Bronx,40.85868919311103,-73.89892588398601
Forest Hills,95,Queens,40.72127900116013,-73.84478828390046
Forest Park/Highland Park,96,Queens,40.69980487998139,-73.86420961517398
Fort Greene,97,Brooklyn,40.69157651433027,-73.97761243126777
Fresh Meadows,98,Queens,40.731965853859286,-73.77490131094913
Freshkills Park,99,Staten Island,40.5682286720414,-74.20318115230639
Garment District,100,Manhattan,40.75338644003992,-73.98871599355991
Glen Oaks,101,Queens,40.74649686377888,-73.71560713472549
Glendale,102,Queens,40.701802320067806,-73.87706507814808
Governor's Island/Ellis Island/Liberty Island,103,Manhattan,40.690330527725614,-74.04577206414315
Governor's Island/Ellis Island/Liberty Island,103,Manhattan,40.69948902725996,-74.04058459648621
Governor's Island/Ellis Island/Liberty Island,103,Manhattan,40.69001065188087,-74.0169586307648
Gowanus,106,Brooklyn,40.67382309206658,-73.99187384175548
Gramercy,107,Manhattan,40.73670614808919,-73.98426922264277
Gravesend,108,Brooklyn,40.58656210882806,-73.98862023769574
Great Kills,109,Staten Island,40.54305055320943,-74.14351665280606
Great Kills Park,110,Staten Island,40.540365552552764,-74.12998068179228
Green-Wood Cemetery,111,Brooklyn,40.653079177857045,-73.99066289428563
Greenpoint,112,Brooklyn,40.73439145228447,-73.95051598317748
Greenwich Village North,113,Manhattan,40.73190725302693,-73.9942024569999
Greenwich Village South,114,Manhattan,40.727634697071345,-73.99696399176185
Grymes Hill/Clifton,115,Staten Island,40.61892170080832,-74.08447422989713
Hamilton Heights,116,Manhattan,40.82791996100757,-73.9507273017448
Hammels/Arverne,117,Queens,40.59682815827486,-73.79131618670787
Heartland Village/Todt Hill,118,Staten Island,40.58854850224251,-74.12842852830566
Highbridge,119,Bronx,40.83793777073582,-73.92626403765128
Highbridge Park,120,Manhattan,40.84486112583499,-73.93132296251538
Madison,149,Brooklyn,40.6055652420109,-73.94644375217574
Manhattan Beach,150,Brooklyn,40.581247071743554,-73.94123010827566
Hillcrest/Pomonok,121,Queens,40.72835742080356,-73.80535975342914
Hollis,122,Queens,40.71043410518803,-73.76402059250488
Homecrest,123,Brooklyn,40.59826462781472,-73.9647298902962
Howard Beach,124,Queens,40.655355228548395,-73.84737427908334
Hunts Point,126,Bronx,40.807363875900414,-73.88912911814518
Inwood,127,Manhattan,40.86259532999613,-73.91748477548127
Inwood Hill Park,128,Manhattan,40.87465616421086,-73.92138012666193
Jackson Heights,129,Queens,40.75947494033324,-73.88718209194263
Kew Gardens,134,Queens,40.70855464641295,-73.83162045185861
Manhattan Valley,151,Manhattan,40.799377062187205,-73.97100993152026
Jamaica,130,Queens,40.706137874803595,-73.79052743458271
Laurelton,139,Queens,40.67671822850811,-73.74506711581957
Jamaica Estates,131,Queens,40.71954553290467,-73.77782421038721
JFK Airport,132,Queens,40.63906784736892,-73.78374464223006
Kensington,133,Brooklyn,40.64073359643411,-73.97651004580254
Lenox Hill East,140,Manhattan,40.763906791082924,-73.95571997200139
Kew Gardens Hills,135,Queens,40.72787583881262,-73.82087673493636
Kingsbridge Heights,136,Bronx,40.86512432789063,-73.90776106862901
Kips Bay,137,Manhattan,40.7378846811117,-73.97382133463046
Lenox Hill West,141,Manhattan,40.76561998731472,-73.96011264961103
Lincoln Square East,142,Manhattan,40.77131375940731,-73.98229597835793
Manhattanville,152,Manhattan,40.819640190628554,-73.95613224835142
LaGuardia Airport,138,Queens,40.774627080754335,-73.87282104019933
Lincoln Square West,143,Manhattan,40.77639415945141,-73.99006535672831
Little Italy/NoLiTa,144,Manhattan,40.720970216820426,-73.99667510082044
Long Island City/Hunters Point,145,Queens,40.74251557085418,-73.95488100030678
Long Island City/Queens Plaza,146,Queens,40.75311991594109,-73.93579074172052
Longwood,147,Bronx,40.81974319807454,-73.89856557768645
