zone,LocationID,borough,lat,lon
Newark Airport,1,EWR,40.6902433,-74.17427028
Jamaica Bay,2,Queens,40.61216268,-73.81764292
Allerton/Pelham Gardens,3,Bronx,40.86429404,-73.84650986
Alphabet City,4,Manhattan,40.72385315,-73.97520909
Arden Heights,5,Staten Island,40.55667805,-74.18980261
Arrochar/Fort Wadsworth,6,Staten Island,40.60111749,-74.07174676
Astoria,7,Queens,40.76143294,-73.91936505
Astoria Park,8,Queens,40.77807744,-73.92339582
Auburndale,9,Queens,40.75030244,-73.79018836
Bloomingdale,24,Manhattan,40.80294679,-73.96773918
Baisley Park,10,Queens,40.67793076,-73.79031743
Bath Beach,11,Brooklyn,40.60269196,-74.00902265
Battery Park,12,Manhattan,40.70209109,-74.01547738
Battery Park City,13,Manhattan,40.70941901,-74.0173256
Bedford Park,18,Bronx,40.86887674,-73.88938681
Boerum Hill,25,Brooklyn,40.68658766,-73.98592946
Bay Ridge,14,Brooklyn,40.62519597,-74.02924606
Bay Terrace/Fort Totten,15,Queens,40.79099486,-73.77860619
Bensonhurst West,22,Brooklyn,40.60880523,-73.99579856
Bloomfield/Emerson Hill,23,Staten Island,40.60462435,-74.19051212
Bayside,16,Queens,40.76281126,-73.76797233
Bedford,17,Brooklyn,40.69239895,-73.95031618
Bellerose,19,Queens,40.73468189,-73.72886971
Belmont,20,Bronx,40.85894074,-73.88536611
Bensonhurst East,21,Brooklyn,40.59688577,-73.99043981
Borough Park,26,Brooklyn,40.63073748,-73.98795177
Breezy Point/Fort Tilden/Riis Beach,27,Queens,40.56129837,-73.8908193
Briarwood/Jamaica Hills,28,Queens,40.71231351,-73.80698408
Brooklyn Heights,33,Brooklyn,40.69696427,-73.99550146
Brighton Beach,29,Brooklyn,40.57993399,-73.96050735
Bronx Park,31,Bronx,40.86031038,-73.87512408
Bronxdale,32,Bronx,40.86211608,-73.86541527
Broad Channel,30,Queens,40.60288204,-73.82289587
Brooklyn Navy Yard,34,Brooklyn,40.7027019,-73.97417569
Brownsville,35,Brooklyn,40.66399062,-73.91032893
Bushwick North,36,Brooklyn,40.69925991,-73.9168343
Bushwick South,37,Brooklyn,40.69546427,-73.92392073
Cambria Heights,38,Queens,40.69510435,-73.73553021
Canarsie,39,Brooklyn,40.64248159,-73.89170629
Carroll Gardens,40,Brooklyn,40.67789943,-73.99662564
Central Harlem,41,Manhattan,40.80335613,-73.95057322
Chinatown,45,Manhattan,40.71156838,-73.99804922
City Island,46,Bronx,40.85026745,-73.78585109
Central Harlem North,42,Manhattan,40.82638445,-73.93707466
Central Park,43,Manhattan,40.78150703,-73.96649771
Charleston/Tottenville,44,Staten Island,40.52993928,-74.23734818
Claremont/Bathgate,47,Bronx,40.8432138,-73.90047162
Clinton East,48,Manhattan,40.76139809,-73.99074395
